FaixaInicial	FaixaFinal	Quantidade
194450254	194460253	10000
194460254	194470253	10000
194470254	194480253	10000
194480254	194490253	10000
194490254	194500253	10000
194500254	194510253	10000
194510254	194520253	10000
194520254	194530253	10000
194530254	194540253	10000
194540254	194550253	10000
194550254	194560253	10000
194560254	194570253	10000
194570254	194580253	10000
194580254	194590253	10000
194590254	194600253	10000
194600254	194610253	10000
194610254	194620253	10000
194620254	194630253	10000
194630254	194640253	10000
194640254	194650253	10000
194650254	194660253	10000
194660254	194670253	10000
194670254	194680253	10000
194680254	194690253	10000
194690254	194700253	10000
194700254	194710253	10000
194710254	194720253	10000
194720254	194730253	10000
194730254	194740253	10000
194740254	194750253	10000
194750254	194760253	10000
194760254	194770253	10000
194770254	194780253	10000
194780254	194790253	10000
194790254	194800253	10000
194800254	194810253	10000
194810254	194820253	10000
194820254	194830253	10000
194830254	194840253	10000
194840254	194850253	10000
194850254	194860253	10000
194860254	194870253	10000
194870254	194880253	10000
194880254	194890253	10000
194890254	194900253	10000
194900254	194910253	10000
194910254	194920253	10000
194920254	194930253	10000
194930254	194940253	10000
194940254	194950253	10000
194950254	194960253	10000
194960254	194970253	10000
194970254	194980253	10000
194980254	194990253	10000
194990254	195000253	10000
195000254	195010253	10000
195010254	195020253	10000
195020254	195030253	10000
195030254	195040253	10000
195040254	195050253	10000
195050254	195060253	10000
195060254	195070253	10000
195070254	195080253	10000
195080254	195090253	10000
195090254	195100253	10000
195100254	195110253	10000
195110254	195120253	10000
195120254	195130253	10000
195130254	195140253	10000
195140254	195150253	10000
195150254	195160253	10000
195160254	195170253	10000
195170254	195180253	10000
195180254	195190253	10000
195190254	195200253	10000
195200254	195210253	10000
195210254	195220253	10000
195220254	195230253	10000
195230254	195240253	10000
195240254	195250253	10000
195250254	195260253	10000
195260254	195270253	10000
195270254	195280253	10000
195280254	195290253	10000
195290254	195300253	10000
195300254	195310253	10000
195310254	195320253	10000
195320254	195330253	10000
195330254	195340253	10000
195340254	195350253	10000
195350254	195360253	10000
195360254	195370253	10000
195370254	195380253	10000
195380254	195390253	10000
195390254	195400253	10000
195400254	195410253	10000
195410254	195420253	10000
195420254	195430253	10000
195430254	195440253	10000
195440254	195450253	10000
195450254	195460253	10000
195460254	195470253	10000
195470254	195480253	10000
